  PID   TT  STAT      TIME COMMAND
 2046   ??  S      0:47.96 /Applications/Spotify.app/Contents/Frameworks/Spotify Helper.app/Contents/MacOS/Spotify Helper --type=gpu-process --disable-features=ExtendedMouseButtons --log-file=/Users/rory/Library/Logs/Spotify_debug.log --log-severity=disable --product-version=Spotify/1.0.89.313 --lang=en --gpu-preferences=KAAAAAAAAACAAAAAAQAAAAAAAAAAAGAAEAAAAAAAAAAAAAAAAAAAADgBAAAmAAAAMAEAAAAAAAA4AQAAAAAAAEABAAAAAAAASAEAAAAAAABQAQAAAAAAAFgBAAAAAAAAYAEAAAAAAABoAQAAAAAAAHABAAAAAAAAeAEAAAAAAACAAQAAAAAAAIgBAAAAAAAAkAEAAAAAAACYAQAAAAAAAKABAAAAAAAAqAEAAAAAAACwAQAAAAAAALgBAAAAAAAAwAEAAAAAAADIAQAAAAAAANABAAAAAAAA2AEAAAAAAADgAQAAAAAAAOgBAAAAAAAA8AEAAAAAAAD4AQAAAAAAAAACAAAAAAAACAIAAAAAAAAQAgAAAAAAABgCAAAAAAAAIAIAAAAAAAAoAgAAAAAAADACAAAAAAAAOAIAAAAAAABAAgAAAAAAAEgCAAAAAAAAUAIAAAAAAABYAgAAAAAAABAAAAAAAAAAAAAAAAUAAAAQAAAAAAAAAAAAAAALAAAAEAAAAAAAAAAAAAAADAAAABAAAAAAAAAAAAAAAA0AAAAQAAAAAAAAAAAAAAAPAAAAEAAAAAAAAAAAAAAAEAAAABAAAAAAAAAAAAAAABIAAAAQAAAAAAAAAAAAAAATAAAAEAAAAAAAAAABAAAABQAAABAAAAAAAAAAAQAAAAsAAAAQAAAAAAAAAAEAAAAMAAAAEAAAAAAAAAABAAAADQAAABAAAAAAAAAAAQAAAA8AAAAQAAAAAAAAAAEAAAAQAAAAEAAAAAAAAAABAAAAEgAAABAAAAAAAAAAAQAAABMAAAAQAAAAAAAAAAMAAAAFAAAAEAAAAAAAAAADAAAACwAAABAAAAAAAAAAAwAAAAwAAAAQAAAAAAAAAAMAAAANAAAAEAAAAAAAAAADAAAADwAAABAAAAAAAAAAAwAAABAAAAAQAAAAAAAAAAMAAAASAAAAEAAAAAAAAAADAAAAEwAAABAAAAAAAAAABQAAAAUAAAAQAAAAAAAAAAUAAAALAAAAEAAAAAAAAAAFAAAADQAAABAAAAAAAAAABQAAAA8AAAAQAAAAAAAAAAUAAAAQAAAAEAAAAAAAAAAFAAAAEgAAABAAAAAAAAAABQAAABMAAAAQAAAAAAAAAAYAAAAFAAAAEAAAAAAAAAAGAAAACwAAABAAAAAAAAAABgAAAA0AAAAQAAAAAAAAAAYAAAAPAAAAEAAAAAAAAAAGAAAAEAAAABAAAAAAAAAABgAAABIAAAAQAAAAAAAAAAYAAAATAAAA --log-file=/Users/rory/Library/Logs/Spotify_debug.log --log-severity=disable --product-version=Spotify/1.0.89.313 --lang=en --service-request-channel-token=3CEDD867BE7CCA46B9FCAEAEFE14D7F7
 2047   ??  S      0:00.11 /usr/libexec/loginitemregisterd
 2048   ??  Ss     0:00.26 /System/Library/Frameworks/VideoToolbox.framework/Versions/A/XPCServices/VTDecoderXPCService.xpc/Contents/MacOS/VTDecoderXPCService
 2049   ??  S     17:42.50 /Applications/Spotify.app/Contents/Frameworks/Spotify Helper.app/Contents/MacOS/Spotify Helper --type=renderer --disable-features=ExtendedMouseButtons --service-pipe-token=2198A08C307348EB77C5CF9E55008C65 --lang=en --log-file=/Users/rory/Library/Logs/Spotify_debug.log --log-severity=disable --product-version=Spotify/1.0.89.313 --disable-scroll-bounce --disable-spell-checking --num-raster-threads=2 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --service-request-channel-token=2198A08C307348EB77C5CF9E55008C65 --renderer-client-id=3
 2050   ??  Ss     0:00.02 /usr/libexec/smd
 2186   ??  Ss     0:01.43 /System/Library/PrivateFrameworks/IMFoundation.framework/XPCServices/IMRemoteURLConnectionAgent.xpc/Contents/MacOS/IMRemoteURLConnectionAgent
 2245   ??  Ss     0:00.03 /System/Library/CoreServices/ReportCrash daemon
 2606   ??  Ss     0:00.77 /System/Library/PrivateFrameworks/PackageKit.framework/Resources/system_installd
 2612   ??  Ss     0:02.13 /System/Library/Frameworks/MediaLibrary.framework/Versions/A/XPCServices/com.apple.MediaLibraryService.xpc/Contents/MacOS/com.apple.MediaLibraryService
 2641   ??  S      0:00.17 /System/Library/PrivateFrameworks/KerberosHelper/Helpers/DiskUnmountWatcher
 2679   ??  Ss     0:10.99 /System/Library/Frameworks/Quartz.framework/Versions/A/Frameworks/QuickLookUI.framework/Versions/A/XPCServices/QuickLookUIService.xpc/Contents/MacOS/QuickLookUIService
 2680   ??  Ss     0:00.11 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
 2681   ??  Ss     0:08.37 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/XPCServices/com.apple.CommerceKit.TransactionService.xpc/Contents/MacOS/com.apple.CommerceKit.TransactionService
 2683   ??  S      0:00.27 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/DictionaryServices.framework/Versions/A/XPCServices/com.apple.DictionaryServiceHelper.xpc/Contents/MacOS/com.apple.DictionaryServiceHelper
 2707   ??  S     29:35.06 /Users/rory/Downloads/Atom.app/Contents/MacOS/Atom
 2709   ??  S      0:00.20 /Users/rory/Downloads/Atom.app/Contents/Frameworks/Electron Framework.framework/Resources/crashpad_handler --no-rate-limit --no-upload-gzip --database=/var/folders/hb/6qzlxk2s1x7byk13gpzvkyph0000gn/T/Atom Crashes --metrics-dir=/var/folders/hb/6qzlxk2s1x7byk13gpzvkyph0000gn/T/Atom Crashes --url=https://crashreporter.atom.io --handshake-fd=38
 2710   ??  S      5:19.26 /Users/rory/Downloads/Atom.app/Contents/Frameworks/Atom Helper.app/Contents/MacOS/Atom Helper --type=gpu-process --no-sandbox --supports-dual-gpus=false --gpu-driver-bug-workarounds=0,1,5,12,27,30,43,47,56,62,70,73,74,75,76,83,84,86,94,95,96,100,103 --disable-gl-extensions=GL_KHR_blend_equation_advanced GL_KHR_blend_equation_advanced_coherent --gpu-vendor-id=0x8086 --gpu-device-id=0x1626 --gpu-driver-vendor --gpu-driver-version --gpu-driver-date --gpu-active-vendor-id=0x8086 --gpu-active-device-id=0x1626 --service-request-channel-token=4ADE969D0B13F297C7D410801C901151
 2763   ??  S<     0:00.15 /Users/rory/Downloads/Atom.app/Contents/Frameworks/Squirrel.framework/Resources/ShipIt com.github.atom.ShipIt /Users/rory/Library/Caches/com.github.atom.ShipIt/ShipItState.plist
 3192   ??  S     20:56.25 /Applications/Notes.app/Contents/MacOS/Notes
 3202   ??  S     26:26.09 /Applications/Be Focused Pro.app/Contents/MacOS/Be Focused Pro
 3303   ??  Ss     0:00.02 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
 3391   ??  S      0:09.11 /Applications/iTunes.app/Contents/MacOS/iTunesHelper.app/Contents/MacOS/iTunesHelper --launchd
 3392   ??  S      0:12.21 /System/Library/PrivateFrameworks/MobileDevice.framework/Resources/MobileDeviceUpdater.app/Contents/MacOS/MobileDeviceUpdater
 3398   ??  Ss     0:00.71 /System/Library/PrivateFrameworks/CoreFP.framework/Versions/A/fpsd
 3399   ??  S      0:00.39 /System/Library/PrivateFrameworks/BookKit.framework/Versions/A/XPCServices/com.apple.BKAgentService.xpc/Contents/MacOS/com.apple.BKAgentService
 3739   ??  Ss     0:00.41 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
 3946   ??  Ss     0:00.01 /usr/sbin/aslmanager -s /var/log/eventmonitor
 4469   ??  S      1:31.75 /Applications/Evernote.app/Contents/MacOS/Evernote
 4470   ??  S      0:23.29 /Applications/Evernote.app/Contents/Library/LoginItems/EvernoteHelper.app/Contents/MacOS/EvernoteHelper -psn_0_790721
 4481   ??  Ss     0:00.15 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
 4516   ??  S      0:00.67 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/PrintCore.framework/Versions/A/printtool agent
 4858   ??  Ss     0:03.16 /usr/libexec/rtcreportingd
 5433   ??  SNs    0:00.02 /usr/libexec/periodic-wrapper weekly
 5434   ??  S      0:00.30 /System/Library/PrivateFrameworks/ContextKit.framework/Versions/A/XPCServices/ContextService.xpc/Contents/MacOS/ContextService
 5551   ??  Ss     0:14.75 /System/Library/Frameworks/AppKit.framework/Versions/C/XPCServices/com.apple.appkit.xpc.openAndSavePanelService.xpc/Contents/MacOS/com.apple.appkit.xpc.openAndSavePanelService
 5569   ??  Ss     0:00.41 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
 5645   ??  Ss     0:00.21 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
 6372   ??  S     13:08.73 /Applications/Slack.app/Contents/MacOS/Slack
 6374   ??  S      2:41.48 /Applications/Slack.app/Contents/Frameworks/Slack Helper.app/Contents/MacOS/Slack Helper --type=gpu-process --no-sandbox --supports-dual-gpus=false --gpu-driver-bug-workarounds=0,1,5,12,27,30,43,47,56,62,70,73,74,75,76,83,84,86,94,95,96,100,103 --disable-gl-extensions=GL_KHR_blend_equation_advanced GL_KHR_blend_equation_advanced_coherent --gpu-vendor-id=0x8086 --gpu-device-id=0x1626 --gpu-driver-vendor --gpu-driver-version --gpu-driver-date --gpu-active-vendor-id=0x8086 --gpu-active-device-id=0x1626 --service-request-channel-token=EF4F162C08CC432EF6476F1C74A9F0A4
 6378   ??  S      7:44.89 /Applications/Slack.app/Contents/Frameworks/Slack Helper.app/Contents/MacOS/Slack Helper --type=renderer --disable-pinch --force-color-profile=srgb --no-sandbox --service-pipe-token=15B8877D7476649D59E6FEB01939AB83 --lang=en-US --standard-schemes=slack-resources,slack-sounds,slack-webapp-dev --secure-schemes=slack-resources,slack-sounds,slack-webapp-dev --app-path=/Applications/Slack.app/Contents/Resources/app.asar --enable-experimental-web-platform-features --node-integration=false --webview-tag=false --no-sandbox --preload=/Applications/Slack.app/Contents/Resources/app.asar/src/static/ssb-interop.js --context-id=1 --num-raster-threads=2 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --content-image-texture-target=0,0,3553;0,1,3553;0,2,3553;0,3,3553;0,4,3553;0,5,3553;0,6,3553;0,7,3553;0,8,3553;0,9,3553;0,10,3553;0,11,34037;0,12,34037;0,13,34037;0,14,3553;0,15,3553;0,16,3553;0,17,3553;1,0,3553;1,1,3553;1,2,3553;1,3,3553;1,4,3553;1,5,3553;1,6,3553;1,7,3553;1,8,3553;1,9,3553;1,10,3553;1,11,34037;1,12,34037;1,13,34037;1,14,3553;1,15,3553;1,16,3553;1,17,3553;2,0,3553;2,1,3553;2,2,3553;2,3,3553;2,4,3553;2,5,3553;2,6,3553;2,7,3553;2,8,3553;2,9,3553;2,10,3553;2,11,34037;2,12,34037;2,13,34037;2,14,3553;2,15,3553;2,16,3553;2,17,3553;3,0,3553;3,1,3553;3,2,3553;3,3,3553;3,4,3553;3,5,34037;3,6,3553;3,7,3553;3,8,3553;3,9,3553;3,10,3553;3,11,3553;3,12,3553;3,13,34037;3,14,34037;3,15,3553;3,16,34037;3,17,34037;4,0,3553;4,1,3553;4,2,3553;4,3,3553;4,4,3553;4,5,34037;4,6,3553;4,7,3553;4,8,3553;4,9,3553;4,10,3553;4,11,3553;4,12,3553;4,13,34037;4,14,34037;4,15,3553;4,16,34037;4,17,34037 --enable-gpu-async-worker-context --service-request-channel-token=15B8877D7476649D59E6FEB01939AB83 --renderer-client-id=8 {"loadSettings":{"resourcePath":"/Applications/Slack.app/Contents/Resources/app.asar","version":"3.3.3","devMode":false,"logFile":null,"invokedOnStartup":false,"chromeDriver":false,"webappSrcPath":null,"devEnv":null,"rxLogging":false,"sessionId":"Mjg2NTY4ODktZWM1NS00Y2VmLWFlMDAtMDcxNjFlYzM0OTI1XzE1NDMyMTk0MzM2Mzc=","releaseChannel":"mas","platformVersion":{"major":18,"minor":0,"build":0},"isTitleBarHidden":true,"isDevMode":false,"appVersion":"3.3.3","versionName":"Dirty Computer","webappParams":null,"launchOnStartup":false,"openDevToolsOnStart":false,"pretendNotReallyWindows10":false,"isAeroGlassEnabled":false,"isGpuCompositionAvailable":true,"windowType":"webapp","subType":"T09B8JY86-preload"},"perfTimer":{"mainPid":6372,"BOOT":[61427,718911524],"numTeamsAtLaunch":2,"SHELL":[61428,111059968],"APP_READY":[61430,299943606],"MAIN_WINDOW_CREATING":[61430,768132746]},"identifier":"slack_preload_metadata_arguments","teamId":"T09B8JY86"}
 6379   ??  S      2:38.06 /Applications/Slack.app/Contents/Frameworks/Slack Helper.app/Contents/MacOS/Slack Helper --type=renderer --disable-pinch --force-color-profile=srgb --no-sandbox --service-pipe-token=7AECBADD463663E1E87037514DB4E611 --lang=en-US --standard-schemes=slack-resources,slack-sounds,slack-webapp-dev --secure-schemes=slack-resources,slack-sounds,slack-webapp-dev --app-path=/Applications/Slack.app/Contents/Resources/app.asar --node-integration=true --webview-tag=false --no-sandbox --preload=/Applications/Slack.app/Contents/Resources/app.asar/src/static/index.js --background-color=#FFFFFF --context-id=2 --num-raster-threads=2 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --content-image-texture-target=0,0,3553;0,1,3553;0,2,3553;0,3,3553;0,4,3553;0,5,3553;0,6,3553;0,7,3553;0,8,3553;0,9,3553;0,10,3553;0,11,34037;0,12,34037;0,13,34037;0,14,3553;0,15,3553;0,16,3553;0,17,3553;1,0,3553;1,1,3553;1,2,3553;1,3,3553;1,4,3553;1,5,3553;1,6,3553;1,7,3553;1,8,3553;1,9,3553;1,10,3553;1,11,34037;1,12,34037;1,13,34037;1,14,3553;1,15,3553;1,16,3553;1,17,3553;2,0,3553;2,1,3553;2,2,3553;2,3,3553;2,4,3553;2,5,3553;2,6,3553;2,7,3553;2,8,3553;2,9,3553;2,10,3553;2,11,34037;2,12,34037;2,13,34037;2,14,3553;2,15,3553;2,16,3553;2,17,3553;3,0,3553;3,1,3553;3,2,3553;3,3,3553;3,4,3553;3,5,34037;3,6,3553;3,7,3553;3,8,3553;3,9,3553;3,10,3553;3,11,3553;3,12,3553;3,13,34037;3,14,34037;3,15,3553;3,16,34037;3,17,34037;4,0,3553;4,1,3553;4,2,3553;4,3,3553;4,4,3553;4,5,34037;4,6,3553;4,7,3553;4,8,3553;4,9,3553;4,10,3553;4,11,3553;4,12,3553;4,13,34037;4,14,34037;4,15,3553;4,16,34037;4,17,34037 --enable-gpu-async-worker-context --service-request-channel-token=7AECBADD463663E1E87037514DB4E611 --renderer-client-id=9 {"loadSettings":{"resourcePath":"/Applications/Slack.app/Contents/Resources/app.asar","version":"3.3.3","devMode":false,"logFile":null,"invokedOnStartup":false,"chromeDriver":false,"webappSrcPath":null,"devEnv":null,"rxLogging":false,"sessionId":"Mjg2NTY4ODktZWM1NS00Y2VmLWFlMDAtMDcxNjFlYzM0OTI1XzE1NDMyMTk0MzM2Mzc=","releaseChannel":"mas","platformVersion":{"major":18,"minor":0,"build":0},"isTitleBarHidden":true,"isDevMode":false,"appVersion":"3.3.3","versionName":"Dirty Computer","webappParams":null,"launchOnStartup":false,"openDevToolsOnStart":false,"pretendNotReallyWindows10":false,"isAeroGlassEnabled":false,"isGpuCompositionAvailable":true,"webPreferences":{"webviewTag":false,"preload":"/Applications/Slack.app/Contents/Resources/app.asar/src/static/index.js"},"title":"Slack","autoHideMenuBar":false,"show":false,"windowType":"main","bootstrapScript":"/Applications/Slack.app/Contents/Resources/app.asar/src/renderer/main.tsx","acceptFirstMouse":false,"backgroundColor":"#FFFFFF","frame":false,"titleBarStyle":"hidden","minHeight":400,"minWidth":668},"perfTimer":{"mainPid":6372,"BOOT":[61427,718911524],"numTeamsAtLaunch":2,"SHELL":[61428,111059968],"APP_READY":[61430,299943606],"MAIN_WINDOW_CREATING":[61430,768132746]},"identifier":"slack_preload_metadata_arguments"}
 6837   ??  S      0:01.49 /System/Library/PrivateFrameworks/CallHistory.framework/Support/CallHistorySyncHelper
 7735   ??  Ss     0:00.30 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
 8574   ??  S      0:07.83 /Library/Developer/PrivateFrameworks/CoreSimulator.framework/Versions/A/XPCServices/com.apple.CoreSimulator.CoreSimulatorService.xpc/Contents/MacOS/com.apple.CoreSimulator.CoreSimulatorService
12396   ??  Ss     0:06.05 /System/Library/Frameworks/Quartz.framework/Versions/A/Frameworks/QuickLookUI.framework/Versions/A/XPCServices/QuickLookUIService.xpc/Contents/MacOS/QuickLookUIService
14751   ??  Ss     0:06.16 /System/Library/Frameworks/AppKit.framework/Versions/C/XPCServices/com.apple.appkit.xpc.openAndSavePanelService.xpc/Contents/MacOS/com.apple.appkit.xpc.openAndSavePanelService
14754   ??  Ss     0:00.54 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
14890   ??  S     12:49.65 /Applications/Calendar.app/Contents/MacOS/Calendar
15655   ??  Ss     0:04.85 /System/Library/PrivateFrameworks/Lookup.framework/Versions/A/XPCServices/LookupViewService.xpc/Contents/MacOS/LookupViewService
15656   ??  Ss     0:01.02 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/XPCServices/com.apple.CommerceKit.TransactionService.xpc/Contents/MacOS/com.apple.CommerceKit.TransactionService
16296   ??  S     28:25.84 /Applications/Microsoft Word.app/Contents/MacOS/Microsoft Word -psn_0_2503267
16398   ??  Ss     0:00.18 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
17101   ??  S      0:03.96 /System/Library/PrivateFrameworks/HomeKitDaemon.framework/Support/homed
17102   ??  S      0:01.89 /System/Library/PrivateFrameworks/PassKitCore.framework/passd
17105   ??  Ss     0:00.23 /System/Library/Frameworks/iTunesLibrary.framework/Versions/A/XPCServices/com.apple.iTunesLibraryService.xpc/Contents/MacOS/com.apple.iTunesLibraryService
17491   ??  Ss     0:00.02 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
18815   ??  Ss     0:00.05 /System/Library/CoreServices/NotificationCenter.app/Contents/XPCServices/com.apple.notificationcenterui.WeatherSummary.xpc/Contents/MacOS/com.apple.notificationcenterui.WeatherSummary
18905   ??  S      0:01.52 /System/Library/CoreServices/UIKitSystem.app/Contents/MacOS/UIKitSystem system_app_start
18915   ??  S      0:01.51 /usr/libexec/adservicesd
18921   ??  S      0:00.06 /System/Library/PrivateFrameworks/DistributedEvaluation.framework/Versions/A/XPCServices/com.apple.siri-distributed-evaluation.xpc/Contents/MacOS/com.apple.siri-distributed-evaluation
19601   ??  S      9:46.60 /Applications/Google Chrome.app/Contents/MacOS/Google Chrome
19603   ??  S      0:00.03 /Applications/Google Chrome.app/Contents/Versions/67.0.3396.99/Google Chrome Framework.framework/Helpers/crashpad_handler --monitor-self-annotation=ptype=crashpad-handler --database=/Users/rory/Library/Application Support/Google/Chrome/Crashpad --metrics-dir=/Users/rory/Library/Application Support/Google/Chrome --url=https://clients2.google.com/cr/report --annotation=channel= --annotation=plat=OS X --annotation=prod=Chrome_Mac --annotation=ver=67.0.3396.99 --handshake-fd=8
19606   ??  S      2:53.27 /Applications/Google Chrome.app/Contents/Versions/67.0.3396.99/Google Chrome Helper.app/Contents/MacOS/Google Chrome Helper --type=gpu-process --field-trial-handle=17671011860150258481,15060809607046282090,131072 --metrics-client-id=bc53eaa7-a918-4659-b2a8-77efbe1b5884 --gpu-preferences=KAAAAAAAAACAAAAAAQAAAAAAAAAAAGAAEAAAAAAAAAAAAAAAAAAAADgBAAAmAAAAMAEAAAAAAAA4AQAAAAAAAEABAAAAAAAASAEAAAAAAABQAQAAAAAAAFgBAAAAAAAAYAEAAAAAAABoAQAAAAAAAHABAAAAAAAAeAEAAAAAAACAAQAAAAAAAIgBAAAAAAAAkAEAAAAAAACYAQAAAAAAAKABAAAAAAAAqAEAAAAAAACwAQAAAAAAALgBAAAAAAAAwAEAAAAAAADIAQAAAAAAANABAAAAAAAA2AEAAAAAAADgAQAAAAAAAOgBAAAAAAAA8AEAAAAAAAD4AQAAAAAAAAACAAAAAAAACAIAAAAAAAAQAgAAAAAAABgCAAAAAAAAIAIAAAAAAAAoAgAAAAAAADACAAAAAAAAOAIAAAAAAABAAgAAAAAAAEgCAAAAAAAAUAIAAAAAAABYAgAAAAAAABAAAAAAAAAAAAAAAAUAAAAQAAAAAAAAAAAAAAALAAAAEAAAAAAAAAAAAAAADAAAABAAAAAAAAAAAAAAAA0AAAAQAAAAAAAAAAAAAAAPAAAAEAAAAAAAAAAAAAAAEAAAABAAAAAAAAAAAAAAABIAAAAQAAAAAAAAAAAAAAATAAAAEAAAAAAAAAABAAAABQAAABAAAAAAAAAAAQAAAAsAAAAQAAAAAAAAAAEAAAAMAAAAEAAAAAAAAAABAAAADQAAABAAAAAAAAAAAQAAAA8AAAAQAAAAAAAAAAEAAAAQAAAAEAAAAAAAAAABAAAAEgAAABAAAAAAAAAAAQAAABMAAAAQAAAAAAAAAAMAAAAFAAAAEAAAAAAAAAADAAAACwAAABAAAAAAAAAAAwAAAAwAAAAQAAAAAAAAAAMAAAANAAAAEAAAAAAAAAADAAAADwAAABAAAAAAAAAAAwAAABAAAAAQAAAAAAAAAAMAAAASAAAAEAAAAAAAAAADAAAAEwAAABAAAAAAAAAABQAAAAUAAAAQAAAAAAAAAAUAAAALAAAAEAAAAAAAAAAFAAAADQAAABAAAAAAAAAABQAAAA8AAAAQAAAAAAAAAAUAAAAQAAAAEAAAAAAAAAAFAAAAEgAAABAAAAAAAAAABQAAABMAAAAQAAAAAAAAAAYAAAAFAAAAEAAAAAAAAAAGAAAACwAAABAAAAAAAAAABgAAAA0AAAAQAAAAAAAAAAYAAAAPAAAAEAAAAAAAAAAGAAAAEAAAABAAAAAAAAAABgAAABIAAAAQAAAAAAAAAAYAAAATAAAA --metrics-client-id=bc53eaa7-a918-4659-b2a8-77efbe1b5884 --service-request-channel-token=4B3FC88A3A74FB02A7FBDB0D9967F36F
19608   ??  Ss     0:00.03 /Applications/Google Chrome.app/Contents/Versions/67.0.3396.99/Google Chrome Framework.framework/Versions/A/XPCServices/AlertNotificationService.xpc/Contents/MacOS/AlertNotificationService
19609   ??  Ss     0:00.10 /System/Library/Frameworks/VideoToolbox.framework/Versions/A/XPCServices/VTDecoderXPCService.xpc/Contents/MacOS/VTDecoderXPCService
19613   ??  S      1:05.14 /Applications/Google Chrome.app/Contents/Versions/67.0.3396.99/Google Chrome Helper.app/Contents/MacOS/Google Chrome Helper --type=renderer --field-trial-handle=17671011860150258481,15060809607046282090,131072 --service-pipe-token=45D5CCCF268E6D606DE5B00F456CAC0A --lang=en-US --metrics-client-id=bc53eaa7-a918-4659-b2a8-77efbe1b5884 --extension-process --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --num-raster-threads=2 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --service-request-channel-token=45D5CCCF268E6D606DE5B00F456CAC0A --renderer-client-id=3 --v2-sandbox --fd_mapping=129
19616   ??  S      0:01.23 /Applications/Google Chrome.app/Contents/Versions/67.0.3396.99/Google Chrome Helper.app/Contents/MacOS/Google Chrome Helper --type=renderer --field-trial-handle=17671011860150258481,15060809607046282090,131072 --service-pipe-token=E84BDBBEE28C04CAC992873D5B493AC8 --lang=en-US --metrics-client-id=bc53eaa7-a918-4659-b2a8-77efbe1b5884 --extension-process --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --num-raster-threads=2 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --service-request-channel-token=E84BDBBEE28C04CAC992873D5B493AC8 --renderer-client-id=4 --v2-sandbox --fd_mapping=121
19928   ??  S      8:32.73 /Applications/OneDrive.app/Contents/MacOS/OneDrive
19947   ??  Ss     0:00.04 /System/Library/Frameworks/AppKit.framework/Versions/C/XPCServices/SandboxedServiceRunner.xpc/Contents/MacOS/SandboxedServiceRunner
20087   ??  Ss     0:04.95 /usr/libexec/PerfPowerServices
20091   ??  S      0:00.10 /System/Library/CoreServices/rcd.app/Contents/MacOS/rcd
20256   ??  Ss     0:05.28 /usr/libexec/sandboxd
20659   ??  Ss     0:00.22 /System/Library/PrivateFrameworks/AssetCacheServices.framework/Versions/A/XPCServices/AssetCacheLocatorService.xpc/Contents/MacOS/AssetCacheLocatorService -d
20660   ??  S      0:00.07 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
20679   ??  Ss     0:00.56 /usr/libexec/syspolicyd
20707   ??  SNs    0:00.01 /usr/libexec/periodic-wrapper monthly
20869   ??  S      0:00.52 /Users/rory/Downloads/Atom.app/Contents/Frameworks/Atom Helper.app/Contents/MacOS/Atom Helper --type=renderer --enable-experimental-web-platform-features --no-sandbox --service-pipe-token=BC9D4DB802426EB40A74834D624D1138 --lang=en-US --app-path=/Users/rory/Downloads/Atom.app/Contents/Resources/app.asar --node-integration=true --webview-tag=true --no-sandbox --context-id=2 --enable-pinch --num-raster-threads=2 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --content-image-texture-target=0,0,3553;0,1,3553;0,2,3553;0,3,3553;0,4,3553;0,5,3553;0,6,3553;0,7,3553;0,8,3553;0,9,3553;0,10,3553;0,11,34037;0,12,34037;0,13,34037;0,14,3553;0,15,3553;0,16,3553;0,17,3553;1,0,3553;1,1,3553;1,2,3553;1,3,3553;1,4,3553;1,5,3553;1,6,3553;1,7,3553;1,8,3553;1,9,3553;1,10,3553;1,11,34037;1,12,34037;1,13,34037;1,14,3553;1,15,3553;1,16,3553;1,17,3553;2,0,3553;2,1,3553;2,2,3553;2,3,3553;2,4,3553;2,5,3553;2,6,3553;2,7,3553;2,8,3553;2,9,3553;2,10,3553;2,11,34037;2,12,34037;2,13,34037;2,14,3553;2,15,3553;2,16,3553;2,17,3553;3,0,3553;3,1,3553;3,2,3553;3,3,3553;3,4,3553;3,5,34037;3,6,3553;3,7,3553;3,8,3553;3,9,3553;3,10,3553;3,11,3553;3,12,3553;3,13,34037;3,14,34037;3,15,3553;3,16,34037;3,17,34037;4,0,3553;4,1,3553;4,2,3553;4,3,3553;4,4,3553;4,5,34037;4,6,3553;4,7,3553;4,8,3553;4,9,3553;4,10,3553;4,11,3553;4,12,3553;4,13,34037;4,14,34037;4,15,3553;4,16,34037;4,17,34037 --enable-gpu-async-worker-context --service-request-channel-token=BC9D4DB802426EB40A74834D624D1138 --renderer-client-id=84
20883   ??  Ss     0:00.09 /System/Library/SystemConfiguration/EAPOLController.bundle/Contents/Resources/eapolclient -i en0 -u 501 -g 20
20884   ??  SNs    0:00.06 /usr/sbin/netbiosd
20896   ??  Ss     0:00.22 /System/Library/PrivateFrameworks/CloudDocs.framework/PlugIns/com.apple.CloudDocs.MobileDocumentsFileProvider.appex/Contents/MacOS/com.apple.CloudDocs.MobileDocumentsFileProvider
20898   ??  S      0:53.21 /Applications/Preview.app/Contents/MacOS/Preview -psn_0_3117817
